primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
There's Something in the Water,2019,6.7,494,there's something in the water,There's Something in the Water,2020-03-27,2019,there's something in the water
The Dreamer,2009,6.8,493,the dreamer,The Dreamer,2018-10-04,2009,the dreamer
Power Players,2015,7.8,491,power players,Power Players,2021-04-15,2020,power players
Bombairiya,2019,4.6,491,bombairiya,Bombairiya,2019-03-15,2018,bombairiya
Weeds on Fire,2016,6.7,491,weeds on fire,Weeds on Fire,2018-09-27,2016,weeds on fire
Cooking on High,2018,5.0,491,cooking on high,Cooking on High,2018-06-22,2018,cooking on high
Zokkomon,2011,4.1,490,zokkomon,Zokkomon,2018-11-01,2011,zokkomon
Monty Python's Personal Best,2006,7.8,490,monty python's personal best,Monty Python's Personal Best,2018-10-02,2005,monty python's personal best
Long Time Running,2017,8.1,489,long time running,Long Time Running,2017-11-12,2017,long time running
Union Leader,2017,7.1,489,union leader,Union Leader,2019-12-31,2017,union leader
Sing On!,2020,6.4,489,sing on!,Sing On!,2020-09-16,2020,sing on!
On Children,2018,7.4,489,on children,On Children,2018-08-05,2018,on children
Love Is a Story,2015,5.9,489,love is a story,Love Is a Story,2021-06-21,2015,love is a story
Chasing Monsters,2018,8.4,489,chasing monsters,Chasing Monsters,2017-12-15,2016,chasing monsters
Takki,2012,6.3,488,takki,Takki,2020-08-15,2014,takki
Find Yourself,2020,7.5,488,find yourself,Find Yourself,2020-01-29,2020,find yourself
Ralphie May: Unruly,2015,4.9,487,ralphie may: unruly,Ralphie May: Unruly,2015-02-27,2015,ralphie may: unruly
Team Kaylie,2019,4.7,487,team kaylie,Team Kaylie,2020-02-03,2020,team kaylie
Anitta: Made in Honório,2020,6.8,486,anitta: made in honório,Anitta: Made In Honório,2020-12-16,2020,anitta: made in honório
A Stoning in Fulham County,1988,5.9,486,a stoning in fulham county,A Stoning in Fulham County,2011-10-01,1988,a stoning in fulham county
Cooked with Cannabis,2020,6.6,486,cooked with cannabis,Cooked with Cannabis,2020-04-20,2020,cooked with cannabis
Kalushi: The Story of Solomon Mahlangu,2016,6.6,485,kalushi: the story of solomon mahlangu,Kalushi: The Story of Solomon Mahlangu,2019-11-29,2016,kalushi: the story of solomon mahlangu
Skin Decision: Before and After,2020,6.0,485,skin decision: before and after,Skin Decision: Before and After,2020-07-15,2020,skin decision: before and after
Kids on the Block,2019,5.7,485,kids on the block,Kids on the Block,2019-10-04,2019,kids on the block
Accomplice,2019,7.9,484,accomplice,Accomplice,2021-01-27,2021,accomplice
Snervous Tyler Oakley,2015,5.5,484,snervous tyler oakley,Snervous Tyler Oakley,2021-09-01,2015,snervous tyler oakley
Norman Lear: Just Another Version of You,2016,7.3,483,norman lear: just another version of you,Norman Lear: Just Another Version of You,2016-11-01,2016,norman lear: just another version of you
La Línea: Shadow of Narco,2020,6.4,483,la línea: shadow of narco,La Línea: Shadow of Narco,2020-09-09,2020,la línea: shadow of narco
"¡Ay, mi madre!",2019,3.9,483,"¡ay, mi madre!","¡Ay, mi madre!",2019-07-19,2019,"¡ay, mi madre!"
Hate by Dani Rovira,2021,6.7,482,hate by dani rovira,Hate by Dani Rovira,2021-02-12,2021,hate by dani rovira
Nigerian Prince,2018,5.9,481,nigerian prince,Nigerian Prince,2020-08-14,2018,nigerian prince
Isa Pa with Feelings,2019,7.8,481,isa pa with feelings,Isa Pa with Feelings,2020-12-25,2019,isa pa with feelings
My Amnesia Girl,2010,6.6,481,my amnesia girl,My Amnesia Girl,2020-11-19,2010,my amnesia girl
Lost Song,2018,6.9,481,lost song,LOST SONG,2018-10-05,2018,lost song
Bulbul Can Sing,2018,6.9,480,bulbul can sing,Bulbul Can Sing,2020-01-15,2018,bulbul can sing
I Need Romance,2011,7.1,480,i need romance,I Need Romance,2021-08-10,2021,i need romance
You vs. Wild: Out Cold,2021,5.4,479,you vs. wild: out cold,You vs. Wild: Out Cold,2021-09-14,2021,you vs. wild: out cold
Memory Games,2018,6.7,478,memory games,Memory Games,2019-06-19,2018,memory games
The Intent 2: The Come Up,2018,3.8,477,the intent 2: the come up,The Intent 2: The Come Up,2019-02-21,2018,the intent 2: the come up
Kolaiyuthir Kaalam,2019,2.7,476,kolaiyuthir kaalam,Kolaiyuthir Kaalam,2020-04-24,2019,kolaiyuthir kaalam
The Ant's Scream,2011,6.5,475,the ant's scream,The Ant's Scream,2019-06-13,2010,the ant's scream
Thottappan,2019,6.9,475,thottappan,Thottappan,2020-02-08,2019,thottappan
All About Love,2001,5.4,475,all about love,All About Love,2020-03-06,2017,all about love
#cats_the_mewvie,2020,5.3,474,#cats_the_mewvie,#cats_the_mewvie,2020-02-05,2020,#cats_the_mewvie
Twice,2009,7.5,473,twice,Twice,2017-12-31,2010,twice
My Own Man,2014,6.4,473,my own man,My Own Man,2015-03-06,2015,my own man
A Touch of Green,2015,8.3,473,a touch of green,A Touch of Green,2020-07-01,2016,a touch of green
Super Wings,2015,6.0,472,super wings,Super Wings,2020-12-01,2020,super wings
Mauli,2018,5.5,472,mauli,Mauli,2019-07-17,2018,mauli
Good Kisser,2019,4.3,472,good kisser,Good Kisser,2020-08-20,2019,good kisser
A Choo,2020,5.5,471,a choo,A Choo,2020-10-14,2020,a choo
Ni de coña,2020,2.9,471,ni de coña,Ni de coña,2021-03-26,2020,ni de coña
Once Upon A Time in Lingjian Mountain,2019,7.1,471,once upon a time in lingjian mountain,Once Upon A Time In Lingjian Mountain,2019-11-23,2019,once upon a time in lingjian mountain
Jeff Garlin: Our Man in Chicago,2019,5.9,470,jeff garlin: our man in chicago,Jeff Garlin: Our Man In Chicago,2019-11-12,2019,jeff garlin: our man in chicago
Moh Maya Money,2016,5.8,470,moh maya money,Moh Maya Money,2017-05-01,2016,moh maya money
Evvarikee Cheppoddu,2019,7.0,470,evvarikee cheppoddu,Evvarikee Cheppoddu,2019-11-27,2019,evvarikee cheppoddu
Scams,2019,6.4,469,scams,SCAMS,2019-11-06,2019,scams
A Year in Space,2015,7.3,468,a year in space,A Year In Space,2019-11-01,2015,a year in space
Joan Rivers: Don't Start with Me,2012,6.6,467,joan rivers: don't start with me,Joan Rivers: Don't Start with Me,2018-07-03,2012,joan rivers: don't start with me
Warda,2014,4.2,466,warda,Warda,2019-04-18,2014,warda
A Witches' Ball,2017,5.0,466,a witches' ball,A Witches' Ball,2018-10-01,2017,a witches' ball
Rise of the Zombie,2013,3.3,466,rise of the zombie,Rise of the Zombie,2017-12-15,2013,rise of the zombie
A Champion Heart,2018,6.1,465,a champion heart,A Champion Heart,2021-09-04,2018,a champion heart
Too Hot to Handle: Latino,2021,5.2,465,too hot to handle: latino,Too Hot To Handle: Latino,2021-09-15,2021,too hot to handle: latino
Urzila Carlson: Overqualified Loser,2020,6.3,464,urzila carlson: overqualified loser,Urzila Carlson: Overqualified Loser,2020-07-14,2020,urzila carlson: overqualified loser
Coffee for All,2017,5.6,462,coffee for all,Coffee for All,2018-05-01,2017,coffee for all
Rogue Warfare: Death of a Nation,2020,3.3,462,rogue warfare: death of a nation,Rogue Warfare: Death of a Nation,2021-06-15,2020,rogue warfare: death of a nation
The Legend of 420,2017,6.7,462,the legend of 420,The Legend of 420,2017-12-01,2017,the legend of 420
Hope Aur Hum,2018,6.3,461,hope aur hum,Hope Aur Hum,2018-09-01,2018,hope aur hum
The Great British Baking Show: Holidays,2018,8.1,461,the great british baking show: holidays,The Great British Baking Show: Holidays,2020-12-04,2020,the great british baking show: holidays
Lego Jurassic World: Legend of Isla Nublar,2018,6.7,461,lego jurassic world: legend of isla nublar,LEGO Jurassic World: Legend of Isla Nublar,2020-11-01,2019,lego jurassic world: legend of isla nublar
Pagpag: Nine Lives,2013,5.3,460,pagpag: nine lives,Pagpag: Nine Lives,2020-10-29,2013,pagpag: nine lives
President,2021,7.7,460,president,President,2017-04-28,2010,president
Trippin' with the Kandasamys,2021,5.3,459,trippin' with the kandasamys,Trippin' with the Kandasamys,2021-06-04,2021,trippin' with the kandasamys
Amo,2017,6.4,459,amo,AMO,2018-04-09,2017,amo
Monkey Up,2016,3.7,458,monkey up,Monkey Up,2016-03-19,2016,monkey up
Mama Drama,2014,7.7,458,mama drama,Mama Drama,2021-07-07,2020,mama drama
Hazel Brugger: Tropical,2020,6.4,456,hazel brugger: tropical,Hazel Brugger: Tropical,2020-12-02,2020,hazel brugger: tropical
For Your Own Good,2014,7.9,456,for your own good,For Your Own Good,2017-10-01,2017,for your own good
A Very Special Love,2008,6.5,455,a very special love,A Very Special Love,2020-11-12,2008,a very special love
Dries,2017,6.8,455,dries,Dries,2018-01-01,2017,dries
Hot Property,2010,7.9,454,hot property,Hot Property,2017-08-13,2016,hot property
Blurred Lines: Inside the Art World,2017,6.4,454,blurred lines: inside the art world,Blurred Lines: Inside the Art World,2017-12-31,2017,blurred lines: inside the art world
Dragons: Rescue Riders,2019,6.0,453,dragons: rescue riders,Dragons: Rescue Riders,2020-02-07,2020,dragons: rescue riders
Harry Benson: Shoot First,2016,7.4,452,harry benson: shoot first,Harry Benson: Shoot First,2017-05-01,2016,harry benson: shoot first
Monster High: Electrified,2017,5.5,452,monster high: electrified,Monster High: Electrified,2020-02-15,2017,monster high: electrified
Chupan Chupai,2018,8.9,451,chupan chupai,Chupan Chupai,2019-01-15,2017,chupan chupai
Salam - The First ****** Nobel Laureate,2018,7.8,450,salam - the first ****** nobel laureate,Salam - The First ****** Nobel Laureate,2019-10-02,2018,salam - the first ****** nobel laureate
Titletown High,2021,5.7,450,titletown high,Titletown High,2021-08-27,2021,titletown high
Strange Voices,1987,6.2,449,strange voices,Strange Voices,2011-10-01,1987,strange voices
Kajraare,2010,2.9,447,kajraare,Kajraare,2017-10-22,2010,kajraare
The Meaning of Monty Python,2013,7.3,447,the meaning of monty python,The Meaning of Monty Python,2018-10-02,2013,the meaning of monty python
My Perfect Landing,2020,7.1,445,my perfect landing,My Perfect Landing,2020-08-01,2020,my perfect landing
Alien Contact: Outer Space,2017,3.9,444,alien contact: outer space,Alien Contact: Outer Space,2018-01-09,2017,alien contact: outer space
Swami,2007,6.9,443,swami,Swami,2019-12-31,1977,swami
The Wrong Babysitter,2017,3.8,442,the wrong babysitter,The Wrong Babysitter,2019-06-18,2017,the wrong babysitter
Barbie & Chelsea: The Lost Birthday,2021,5.3,442,barbie & chelsea: the lost birthday,Barbie & Chelsea: The Lost Birthday,2021-04-16,2021,barbie & chelsea: the lost birthday
42 Grams,2017,7.0,441,42 grams,42 Grams,2018-02-01,2017,42 grams
Sister Code,2015,4.3,440,sister code,Sister Code,2016-02-14,2015,sister code
Jatts in Golmaal,2013,6.3,439,jatts in golmaal,Jatts in Golmaal,2018-11-01,2013,jatts in golmaal
Furthest Witness,2017,4.2,439,furthest witness,Furthest Witness,2019-04-24,2017,furthest witness
Marked,2009,8.0,439,marked,Marked,2021-03-28,2021,marked
Bhangra Paa Le,2020,6.3,438,bhangra paa le,Bhangra Paa Le,2020-03-01,2019,bhangra paa le
Bangkok Breaking,2021,5.8,438,bangkok breaking,Bangkok Breaking,2021-09-23,2021,bangkok breaking
Idiotest,2014,5.9,438,idiotest,Idiotest,2018-12-15,2014,idiotest
Pranaam,2019,4.2,438,pranaam,Pranaam,2019-11-25,2019,pranaam
Boy Bye,2016,5.2,438,boy bye,Boy Bye,2019-04-02,2016,boy bye
Aagey Se Right,2009,5.2,436,aagey se right,Aagey Se Right,2018-11-01,2009,aagey se right
Bending the Arc,2017,8.0,435,bending the arc,Bending the Arc,2020-10-22,2017,bending the arc
Cyborg 009: Call of Justice,2016,5.8,435,cyborg 009: call of justice,Cyborg 009: Call of Justice,2017-02-10,2017,cyborg 009: call of justice
Steal a Pencil for Me,2007,7.5,434,steal a pencil for me,Steal a Pencil for Me,2019-09-15,2006,steal a pencil for me
Her Mother's Killer,2020,7.7,433,her mother's killer,Her Mother's Killer,2020-08-26,2020,her mother's killer
Love Now,2007,6.0,433,love now,Love Now,2016-11-01,2012,love now
Hoff the Record,2015,6.8,433,hoff the record,Hoff the Record,2017-03-31,2016,hoff the record
After Maria,2019,4.9,432,after maria,After Maria,2019-05-24,2019,after maria
The Gentleman Driver,2018,6.3,432,the gentleman driver,The Gentleman Driver,2019-01-31,2018,the gentleman driver
Aerials,2016,1.5,432,aerials,Aerials,2020-05-07,2016,aerials
Natalie Palamides: Nate - A One Man Show,2020,6.7,432,natalie palamides: nate - a one man show,Natalie Palamides: Nate - A One Man Show,2020-12-01,2020,natalie palamides: nate - a one man show
A Leaf of Faith,2018,7.3,431,a leaf of faith,A Leaf of Faith,2018-08-27,2018,a leaf of faith
Eh Janam Tumhare Lekhe,2015,8.6,431,eh janam tumhare lekhe,Eh Janam Tumhare Lekhe,2017-12-01,2015,eh janam tumhare lekhe
Dharmakshetra,2014,8.5,430,dharmakshetra,Dharmakshetra,2021-09-15,2014,dharmakshetra
Fire Chasers,2017,6.6,429,fire chasers,Fire Chasers,2017-09-08,2017,fire chasers
Sohni Mahiwal,1984,6.1,429,sohni mahiwal,Sohni Mahiwal,2017-09-01,1984,sohni mahiwal
Voices of Fire,2020,6.9,429,voices of fire,Voices of Fire,2020-11-20,2020,voices of fire
Night on Earth: Shot in the Dark,2020,7.6,429,night on earth: shot in the dark,Night on Earth: Shot in the Dark,2020-02-01,2020,night on earth: shot in the dark
Apache Warrior,2017,6.6,427,apache warrior,Apache Warrior,2019-11-01,2017,apache warrior
The Writer,2021,7.3,425,the writer,The Writer,2019-05-07,2019,the writer
Case Closed,1993,8.5,424,case closed,Case Closed,2019-01-04,2015,case closed
The Boys in the Band: Something Personal,2020,7.2,423,the boys in the band: something personal,The Boys in the Band: Something Personal,2020-09-30,2020,the boys in the band: something personal
The Boss Baby: Get That Baby!,2020,5.1,423,the boss baby: get that baby!,The Boss Baby: Get That Baby!,2020-09-01,2020,the boss baby: get that baby!
Belmonte,2018,6.1,423,belmonte,Belmonte,2019-06-07,2018,belmonte
Stray Bullet,2010,6.3,422,stray bullet,Stray Bullet,2020-06-18,2010,stray bullet
It Takes a Man and a Woman,2013,6.8,422,it takes a man and a woman,It Takes a Man and a Woman,2019-02-27,2013,it takes a man and a woman
Autohead,2016,6.0,421,autohead,Autohead,2017-01-01,2016,autohead
Nathicharami,2018,7.2,421,nathicharami,Nathicharami,2019-01-28,2018,nathicharami
The Gospel of Mark,2015,7.8,421,the gospel of mark,The Gospel of Mark,2018-10-19,2015,the gospel of mark
Sky on Fire,2016,4.6,421,sky on fire,Sky on Fire,2017-08-05,2016,sky on fire
Dance Dreams: Hot Chocolate Nutcracker,2020,7.1,419,dance dreams: hot chocolate nutcracker,Dance Dreams: Hot Chocolate Nutcracker,2020-11-27,2020,dance dreams: hot chocolate nutcracker
Kill Hitler! The Luck of the Devil,2015,6.5,419,kill hitler! the luck of the devil,Kill Hitler! The Luck of the Devil,2019-05-01,2015,kill hitler! the luck of the devil
Jeremy Scott: The People's Designer,2015,6.4,419,jeremy scott: the people's designer,Jeremy Scott: The People's Designer,2016-04-01,2015,jeremy scott: the people's designer
Step outside,2023,7.6,419,step outside,Step Outside,2019-06-06,2018,step outside
Fittest in Dubai,2019,6.1,418,fittest in dubai,Fittest in Dubai,2020-04-15,2019,fittest in dubai
Black Is Beltza,2018,5.9,418,black is beltza,Black Is Beltza,2021-03-26,2018,black is beltza
Right Here Right Now,2016,5.7,417,right here right now,Right Here Right Now,2019-06-16,2018,right here right now
Teasing Master Takagi-san,2024,7.8,417,teasing master takagi-san,Teasing Master Takagi-san,2019-12-06,2019,teasing master takagi-san
Residente,2017,7.9,417,residente,Residente,2018-01-01,2017,residente
My Friend Pinto,2011,5.3,416,my friend pinto,My Friend Pinto,2018-10-01,2011,my friend pinto
Extreme Engagement,2019,5.7,415,extreme engagement,Extreme Engagement,2019-07-12,2019,extreme engagement
French Toast,2013,7.6,415,french toast,French Toast,2020-02-12,2015,french toast
Dying to Tell,2018,6.8,414,dying to tell,Dying to Tell,2019-05-17,2018,dying to tell
Naledi: A Baby Elephant's Tale,2016,7.6,414,naledi: a baby elephant's tale,Naledi: A Baby Elephant's Tale,2020-05-28,2016,naledi: a baby elephant's tale
Stars in the Sky: A Hunting Story,2018,7.2,414,stars in the sky: a hunting story,Stars in the Sky: A Hunting Story,2020-08-07,2018,stars in the sky: a hunting story
Dancing Quietly,2016,6.2,414,dancing quietly,Dancing Quietly,2017-04-01,2016,dancing quietly
My Runway,2016,6.3,412,my runway,My Runway,2016-12-30,2016,my runway
Wandering Stars,2019,7.1,412,wandering stars,Wandering Stars,2019-12-01,2019,wandering stars
Quiet,2012,8.1,411,quiet,Quiet,2021-03-12,2020,quiet
Styling Hollywood,2019,6.5,411,styling hollywood,Styling Hollywood,2019-08-30,2019,styling hollywood
C/O Kaadhal,2021,7.7,410,c/o kaadhal,C/O Kaadhal,2021-03-15,2021,c/o kaadhal
Shawn Mendes: Live in Concert,2020,7.3,410,shawn mendes: live in concert,Shawn Mendes: Live in Concert,2020-11-25,2020,shawn mendes: live in concert
Kong: King of the Apes,2016,5.7,410,kong: king of the apes,Kong: King of the Apes,2018-05-04,2018,kong: king of the apes
The Road to Love,2001,6.5,410,the road to love,The Road to Love,2019-12-04,2019,the road to love
What Happened to Mr. Cha?,2021,4.4,410,what happened to mr. cha?,What Happened to Mr. Cha?,2021-01-01,2021,what happened to mr. cha?
My True Friend,2012,6.3,410,my true friend,My True Friend,2018-07-25,2012,my true friend
Deewana Main Deewana,2005,2.6,409,deewana main deewana,Deewana Main Deewana,2018-07-01,2013,deewana main deewana
Shuddhi,2017,7.8,409,shuddhi,Shuddhi,2018-03-01,2017,shuddhi
Mundina Nildana,2019,6.3,408,mundina nildana,Mundina Nildana,2021-02-12,2019,mundina nildana
A Lion in the House,2006,8.8,407,a lion in the house,A Lion in the House,2020-11-10,2006,a lion in the house
Alelí,2019,6.3,407,alelí,Alelí,2020-04-16,2019,alelí
13 Reasons Why: Beyond the Reasons,2017,6.2,407,13 reasons why: beyond the reasons,13 Reasons Why: Beyond the Reasons,2019-08-23,2019,13 reasons why: beyond the reasons
Train of the Dead,2007,3.6,407,train of the dead,Train of the Dead,2018-07-25,2007,train of the dead
Eugenie Nights,2018,7.4,407,eugenie nights,Eugenie Nights,2019-03-11,2018,eugenie nights
Franco Escamilla: Por la anécdota,2018,7.0,407,franco escamilla: por la anécdota,Franco Escamilla: Por la anécdota,2018-06-08,2018,franco escamilla: por la anécdota
Boca Juniors Confidential,2018,6.3,406,boca juniors confidential,Boca Juniors Confidential,2018-09-14,2018,boca juniors confidential
Narcoworld: Dope Stories,2019,6.5,406,narcoworld: dope stories,Narcoworld: Dope Stories,2019-11-22,2019,narcoworld: dope stories
Bollywood Calling,2001,6.3,405,bollywood calling,Bollywood Calling,2019-04-15,2001,bollywood calling
Mi Amigo Alexis,2019,5.1,405,mi amigo alexis,Mi amigo Alexis,2019-08-30,2019,mi amigo alexis
Yanxi Palace: Princess Adventures,2019,5.8,405,yanxi palace: princess adventures,Yanxi Palace: Princess Adventures,2019-12-31,2019,yanxi palace: princess adventures
Weed the People,2018,7.3,404,weed the people,Weed the People,2019-05-14,2018,weed the people
Mahmut & Meryem,2013,5.6,404,mahmut & meryem,Mahmut & Meryem,2016-12-26,2013,mahmut & meryem
#FriendButMarried 2,2020,6.8,404,#friendbutmarried 2,#FriendButMarried 2,2020-06-28,2020,#friendbutmarried 2
My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,6.7,404,my little pony equestria girls: rollercoaster of friendship,My Little Pony Equestria Girls: Rollercoaster of Friendship,2018-10-01,2018,my little pony equestria girls: rollercoaster of friendship
Word Party,2016,5.5,403,word party,Word Party,2021-03-02,2021,word party
Bittoo Boss,2012,4.1,403,bittoo boss,Bittoo Boss,2020-07-05,2012,bittoo boss
La Piloto,2017,5.7,403,la piloto,La Piloto,2018-04-02,2017,la piloto
Tim Allen: Men Are Pigs,1990,6.2,403,tim allen: men are pigs,Tim Allen: Men Are Pigs,2018-12-31,1990,tim allen: men are pigs
Sethum Aayiram Pon,2020,7.0,403,sethum aayiram pon,SETHUM AAYIRAM PON,2020-04-01,2020,sethum aayiram pon
